Index,Country,BMI,Thinness 1-19 Years,Thinness 5-9 Years,Hepatitis B,Measles,Polio
0,United States of America,5.845,0.73125,0.60625,81.375,130.625,82.125
1,United Kingdom of Great Britain and Northern Ireland,5.53875,0.75,0.50625,0,715.75,92.875
2,Switzerland,5.14375,0.5375,0.39375,0,397.5,95.375
3,Sweden,5.625,1.35,1.30625,59.2,18.9375,98.3125
4,Spain,5.866875,0.6,0.5,92.5,449.875,96.75
5,Slovenia,5.22,1.76875,1.79375,0,6.0625,95.1875
6,Slovakia,5.181875,1.34375,1.425,98.5625,0.25,98.4375
7,Singapore,2.590625,2.125,2.06875,95.875,85.75,96.125
8,Romania,5.225,3.16875,3.50625,91.8125,"1365.69",94.75
9,Portugal,4.363125,0.71875,0.5375,87.625,7.25,96.5
10,Poland,5.373125,2.20625,2.3625,97.375,47.4375,96.75
11,Norway,5.08125,0.7625,0.7,0,6.3125,93.0625
12,New Zealand,5.6625,0.3125,0.3,70.1875,94.9375,89.125
13,Netherlands,5.396875,1.025,0.9625,48.2,251.9375,96.8125
14,Malta,6.618125,0.75,0.7125,80.53846154,2.1875,89.4375
15,Luxembourg,4.7825,0.95,0.9125,92.375,1.125,98.0625
16,Lithuania,4.923125,2.9375,2.96875,94.75,14.9375,88.8125
17,Latvia,5.130625,2.40625,2.43125,88.9375,3.3125,95.0625
18,Japan,2.560625,1.8125,1.54375,0,"6875.81",96
19,Italy,5.615,0.5125,0.525,95.5,"1961.38",96.125
20,Ireland,5.36875,0.3,0.21875,86.83333333,174.5,86.125
21,Iceland,5.1075,0.95625,0.9,0,0,89.75
22,Hungary,5.693125,1.91875,1.9125,0,2.0625,98.9375
23,Germany,5.199375,1.11875,1.10625,77.4375,"1497.19",94.8125
24,France,5.198125,0.625,0.6,51.25,"2661.63",98.25
25,Finland,5.23,0.9,0.80625,0,2.8125,97.1875
26,Denmark,5.5825,1.1625,0.9375,0,15.75,88
27,Czechia,5.57125,1.99375,2.0625,97.28571429,22.9375,98
28,Cyprus,5.31625,0.90625,1,92.625,1.9375,98
29,Croatia,5.235625,1.74375,1.71875,96.22222222,23.6875,95.5
30,Canada,5.58625,0.50625,0.4375,28.84615385,129.5,85.3125
31,Bulgaria,5.45,2.13125,2.15625,94.5,"1530.31",94.25
32,Belgium,5.089375,0.8625,0.85625,74.5,81.5625,97.75
33,Austria,4.82875,1.73125,1.9375,81.0625,77.25,86
34,Australia,5.58625,0.66875,0.625,93.4,103.9375,86.75
35,Zimbabwe,2.51375,7.0125,6.9875,70.5625,923,75.625
36,Zambia,1.745,6.88125,6.7625,69.81818182,"6563.81",64.375
37,Yemen,3.34875,13.83125,13.75,55.6875,"2761.19",67.125
38,Viet Nam,1.11875,14.925,15.625,87.53846154,"4232.94",94.9375
39,Venezuela (Bolivarian Republic of),5.44875,1.65,1.5625,66.25,165,74.6875
40,Vanuatu,4.425625,1.56875,1.49375,56.125,20.875,66.1875
41,Uzbekistan,3.480625,3.14375,3.175,95.64285714,208.4375,98.5625
42,Uruguay,5.2925,1.6,1.54375,94.3125,0,94.25
43,United Republic of Tanzania,1.731875,7.425,7.35625,73.5,"3348.56",83.375
44,United Arab Emirates,5.380625,5.18125,4.96875,93.875,75.625,95.0625
45,Ukraine,5.089375,2.575,2.675,54.625,"5395.19",81.4375
46,Uganda,1.5525,6.2625,6.25625,63.42857143,"12394.63",65.4375
47,Tuvalu,7.93,0.2,0.1,9,0,9
48,Turkmenistan,3.811875,3.3375,3.3625,97.28571429,15.125,95.5625
49,Turkey,5.64125,5.0125,4.85,87.0625,"5272.94",80.8125
50,Tunisia,4.825625,6.40625,6.3375,96.75,33.1875,97.6875
51,Trinidad and Tobago,3.773125,6.1375,6.50625,54.92857143,0,76.4375
52,Tonga,6.294375,0.1,0.1,75.5,0.25,76.875
53,Togo,1.799375,7.86875,7.7375,76.625,532.5,67.1875
54,Timor-Leste,1.455,10.525,11.69375,76,85.0625,63.21428571
55,The former Yugoslav republic of Macedonia,5.290625,2.43125,2.45625,83.54545455,74.75,95.5
56,Thailand,2.159375,8.54375,8.7,97,"4311.94",98.3125
57,Tajikistan,3.31125,3.80625,3.85,84.42857143,208.1875,88.3125
58,Syrian Arab Republic,4.73125,6.45,6.25625,64.125,295.6875,64.8125
59,Swaziland,2.55,6.475,6.63125,76,49.125,89
60,Suriname,5.015625,3.5125,3.45625,85.27272727,0,78.25
61,Sri Lanka,1.7275,15.325,15.36875,90.61538462,"1420.44",98.375
62,South Africa,3.815,9.175,11.075,31,315.75,44
63,Somalia,1.86875,7.26875,7.08125,66.5,"1506",65.3125
64,Solomon Islands,3.9175,1.24375,1.2625,42,"5494.06",29.8125
65,Sierra Leone,1.830625,7.68125,7.1,78.625,0,87.75
66,Seychelles,2.840625,5.90625,6.3,83.44444444,673.875,71.75
67,Serbia,5.21375,2.39375,2.425,98.6875,0.6875,98.5
68,Senegal,1.844375,8.09375,7.9875,90.75,73.8125,94.625
